Sr. no.,Tweets,Scores,Category
2720,"hi sanchita youve been selected as one of the winners for celebrate2getherness with olaoutstation
please check your dm for fuher details",0.27,Positive
2721,"hi anokhi youve been selected as one of the winners for celebrate2getherness with olaoutstation
please check your dm for fuher details",0.27,Positive
2722,"hi deepak youve been selected as one of the winners for celebrate2getherness with olaoutstation
please check your dm for fuher details",0.27,Positive
2723,"hi krishna youve been selected as one of the winners for celebrate2getherness with olaoutstation
please check your dm for fuher details",0.27,Positive
2724,"congrats hasan youve been selected as one of the winners for celebrate2getherness with olaoutstation
please check your dm for fuher details",0.25,Positive
2725,"hi firoz youve been selected as one of the winners for celebrate2getherness with olaoutstation
please check your dm for fuher details",0.27,Positive
2726,beitweddingshoppingorabusinessmeetingwhenyourjourneyneedsmultiplestopsyouneedolarentalsgototheolaappandbookrentalstoday,0,Neutral
2727,celebrate2gethernessthisweekendwitholaoutstationgetyourgangtogetherandhaveanexcitingweekendout,0,Neutral
2728,"congestion surely can make things difficult for us on twitter and also on the roads 
this worldenvironmentday let’s take a step towards decongesting our roads and switch to ride sharing kyunki isse farakpadtahai",-0.091,Negative
2729,"this worldenvironmentday we give you 1 lakh reasons to share
get 1l free ola share rides next time you travel from a bus metro or railway station between 5th8th june share karke dekho isse farakpadtahai read more",0.12,Positive
2730,farakpadtahai,0,Neutral
2731,"sharing is the first step to a bigger change 
tell us what would you share that will make an impact
paicipate and win exciting prizes farakpadtahai
contest rules",0.24,Positive
2732,good one akashfarakpadtahai,0.33,Positive
2733,"thanksfor the almost free share ride nice initiative i hope this ride sharing can become a daily habit for all of us worldenvironmentday 
olacabs",0.19,Positive
2734,"great things happen when you sta sharing
so share karke dekho farakpadtahai",0.11,Positive
2735,"contestale show us the true kolkatan in you 
kolkata let us know one hidden gem in the city of joy that didnt make it to this list
the most liked entries will win exciting rewards
exploreyourcity with olarentals",0.3,Positive
2736,"contest ale
exploreyourcity with olarentals",0,Neutral
2737,thanks for the shoutout rishav were excited to know that we were able to make your monday brilliantmondaymotivation,0.22,Positive
2738,"great choice susmita youve been selected as one of the winners of exploreyourcity with olarentals contest 
please check your dm for fuher details",0.29,Positive
2739,"nice choice chirag youve been selected as one of the winners of exploreyourcity with olarentals contest 
please check your dm for fuher details",0.29,Positive
2740,"great choice susmita youve been selected as one of the winners of exploreyourcity with olarentals contest
please check your dm for fuher details",0.29,Positive
2741,"good one sachin youve been selected as one of the winners of exploreyourcity with olarentals contest 
please check your dm for fuher details",0.29,Positive
2742,congrats akash thats a really impactful way to share youve been selected as on of the winners of the farakpadtahai contest please check your dm for details,0.2,Positive
2743,"awesome kamal thats a really impactful way to share youve been selected as on of the winners of the farakpadtahai contest 
please check your dm for details",0.27,Positive
2744,"thats a really impactful way to share celina 
youve been selected as one of the winners of the farakpadtahai contest please check your dm for details",0.2,Positive
2745,thats a really impactful way to share ashwin youve been selected as one of the winners of the farakpadtahai contest please check your dm for details,0.2,Positive
2746,thats truly an impactful way to share rujuta youve been selected as one of the winners of the farakpadtahai contest please check your dm for details,0.2,Positive
2747,hyderabad nowplaying,0,Neutral
2748,goodness warmth and togetherness for all have a blessed eid eidmubarak,0.67,Positive
2749,"contestale show us the true bangalorean in you 
bengaluru share one hidden gem from the garden city that is not in this video
the most liked entries will win exciting rewards
exploreyourcity with olarentals",0.3,Positive
2750,riding with pramodvasudev choudhary heroesofola and surprised to see my phone had wifi connectivity mumbai autos are witnessing acchedin,0,Neutral
2751,"it’s dad’s special day make it a day out take him someplace nice and spoil him silly wherever you’re heading we’ve got a ride to take you two there 
happy fathersday",0,Neutral
2752,"let’s celebrate fathers’ day in style tell us how did your dad inspire you with his style lucky winners get to gift their dads with gift hampers from
happy fathersday
contestale",0.32,Positive
2753,specific to the shocking incident that happened last night we have offroaded the driver ola like india believes in secularity amp will never allow any so of discrimination amongst its customers amp driver panerswe stand by our customer amp deeply apologise for the incident,0.034,Positive
2754,specific to the shocking incident that happened last night we have offroaded the driver ola like india believes in secularity amp will never allow any so of discrimination amongst its customers amp driver paners we stand by you amp deeply apologise for the incident,0.036,Positive
2755,"bengaluru delightfultuesdays is back get flat 50 off on your ola prime ride between 12 noon amp 6 pm use code prime
offer valid only for today in bengaluru
for more details",0.056,Positive
2756,kudos kerala givewaygivelife,0.33,Positive
2757,thats indeed a hidden gem in bengaluru congrats youve been selected as one of the winners for exploreyourcity with olarentalsbengaluru edition please check your dm for fuher details,0.24,Positive
2758,thats indeed a hidden gem in bengaluru congrats pratil youve been selected as one of the winners for exploreyourcity with olarentalsbengaluru edition please check your dm for fuher details,0.22,Positive
2759,thats indeed a gem that didnt find its place in our list congrats kaik youve been selected as one of the winners for exploreyourcity with olarentalsbengaluru edition please check your dm for fuher details,0.2,Positive
2760,congrats karan youve been selected as one of the winners of the fathersday contest please check your dm for fuher details,0.25,Positive
2761,congrats sanchita youve been selected as one of the winners of the fathersday contest please check your dm for fuher details,0.25,Positive
